State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7229985475997789	0.06682360210674129	0.013238855556415456	3.044673358292925E-4	0.0031912611739433228	0.0015786543990439397	0.12682830658896269	0.0030132782338852773	0.0011973016475571312	0.06082572535784267
2	0.20306437090921772	0.7566019674278326	0.002362693641628412	0.028431592419307563	0.004656873920997888	3.769104278296294E-4	0.003143310003227305	0.001362281249958931	0.0	0.0
3	0.048676456854445875	0.002426366461909005	0.6047987749963051	0.10919910241144172	0.002924098124943946	1.5826908552020107E-6	0.07502986928789984	3.881496988812047E-5	0.03618758909598244	0.12071734510632888
4	0.001192621447454995	0.02237425670448474	0.08197823385112674	0.8438610809905636	0.047198939083178904	0.0	0.0028745635084275445	0.0	0.0	5.203044147636146E-4
5	0.010036792476407527	0.004989875770572182	0.002921305790300275	0.061622724349679935	0.8038533616845768	0.10525705491480258	0.0	0.0113188850136609	0.0	0.0
6	0.0012914778562915466	7.978104581394151E-5	1.5938318920674604E-7	0.0	0.022882435967021234	0.950226487629495	0.018066468579522273	0.007453189538666857	0.0	0.0
7	0.018426040210090866	1.5009599560337404E-4	0.0034189550229358017	1.445460106410432E-4	8.35829560674282E-5	0.0034784430820463	0.9657594576120283	0.006880810860837484	1.936686394100854E-4	0.00146439961033929
8	0.0013965795203365286	2.7999246439377757E-4	9.841889563084587E-7	0.0	0.0014608902582502277	0.004653003612799119	0.022941030197764764	0.9690240721037341	0.0	2.4344765376542652E-4
9	3.2681539084148515E-4	0.0	0.002842486473603837	0.0	0.0	0.0	3.363289805276913E-4	0.0	0.970982456132852	0.02551191302217489
10	0.0018392319878218239	0.0	0.001106094444295568	6.807251564556922E-6	0.0	0.0	2.8185918140781463E-4	1.6660236610029363E-5	0.0029418223209165626	0.9938075245773835
